date,order_id,category_level_1,category_level_2,category_level_3,cost_centre,plant,plant_id,region,amount,unit_price,total,ai_result,description,supplier,supplier_country
2025-10-06,ORD-2025-01104-VF,Non-Procureable,Government Services & Taxes,Property tax,CC-800-Admin,Germany-North,PLANT-DE-N,Europe,1,168549.49,168549.49,"{""description"":""Comprehensive tax advisory and compliance services for German public sector entities."",""supplier"":""PwC Germany"",""supplier_country"":""DE""}",Comprehensive tax advisory and compliance services for German public sector entities.,PwC Germany,DE
2025-03-21,ORD-2025-00090-CZ,Direct,Electrical Assemblies,Grounding busbar,CC-100-Production,Germany-North,PLANT-DE-N,Europe,18,4126.25,74272.5,"{""description"":""High-quality electrical assemblies for industrial automation and power distribution."",""supplier"":""Siemens AG"",""supplier_country"":""DE""}",High-quality electrical assemblies for industrial automation and power distribution.,Siemens AG,DE
2025-07-18,ORD-2025-00942-BI,Direct,Packaging Materials,Export crate,CC-700-Logistics,US-West Plant,PLANT-US-W,North America,83,3140.64,260673.12,"{""description"":""Durable packaging solutions for industrial and consumer goods."",""supplier"":""WestRock"",""supplier_country"":""US""}",Durable packaging solutions for industrial and consumer goods.,WestRock,US
2025-12-01,ORD-2025-00280-UC,Direct,Blades & Hub Parts,Hub flange,CC-300-Engineering,Germany-South,PLANT-DE-S,Europe,61,3672.41,224017.01,"{""description"":""High-performance automotive hub and blade components."",""supplier"":""Schaeffler AG"",""supplier_country"":""DE""}",High-performance automotive hub and blade components.,Schaeffler AG,DE
2025-01-16,ORD-2025-08309-FW,Direct,Components,Gearmotor,CC-100-Production,Germany-North,PLANT-DE-N,Europe,52,1478.62,76888.24,"{""description"":""High-performance electronic components for automotive applications."",""supplier"":""Bosch"",""supplier_country"":""DE""}",High-performance electronic components for automotive applications.,Bosch,DE
2024-06-30,ORD-2024-08341-GY,Non-Procureable,Miscellaneous Expenses,Rounding adjustment,CC-800-Admin,US-West Plant,PLANT-US-W,North America,1,343533.12,343533.12,"{""description"":""Office supplies and miscellaneous items"",""supplier"":""Staples Inc."",""supplier_country"":""US""}",Office supplies and miscellaneous items,Staples Inc.,US
2024-08-30,ORD-2024-09617-KJ,Direct,Blades & Hub Parts,Hub flange,CC-300-Engineering,US-West Plant,PLANT-US-W,North America,15,1726.39,25895.85,"{""description"":""High-performance turbine blades and hub components for aerospace applications."",""supplier"":""GE Aviation"",""supplier_country"":""US""}",High-performance turbine blades and hub components for aerospace applications.,GE Aviation,US
2025-06-17,ORD-2025-03429-SF,Direct,Components,Industrial fan,CC-100-Production,Germany-South,PLANT-DE-S,Europe,25,3249.08,81227.0,"{""description"":""High-performance electronic components for automotive and industrial applications."",""supplier"":""Bosch"",""supplier_country"":""DE""}",High-performance electronic components for automotive and industrial applications.,Bosch,DE
2024-05-15,ORD-2024-00052-CE,Direct,Hydraulic Systems,Hydraulic filter,CC-100-Production,Brazil Plant,PLANT-BR,South America,66,236.5,15609.0,"{""description"":""High-performance hydraulic components for industrial plants."",""supplier"":""SENAI"",""supplier_country"":""BR""}",High-performance hydraulic components for industrial plants.,SENAI,BR
2024-03-26,ORD-2024-01436-XY,Indirect,Marketing & Advertising,Digital ad spend,CC-500-Sales,Germany-South,PLANT-DE-S,Europe,34,4844.62,164717.08,"{""description"":""Digital marketing and creative advertising solutions for local businesses."",""supplier"":""Kreativwerk GmbH"",""supplier_country"":""DE""}",Digital marketing and creative advertising solutions for local businesses.,Kreativwerk GmbH,DE
2025-01-11,ORD-2025-01278-MS,Direct,Components,Control PCB,CC-100-Production,Brazil Plant,PLANT-BR,South America,25,1455.38,36384.5,"{""description"":""High-quality electronic components for industrial automation."",""supplier"":""TE Connectivity Brazil"",""supplier_country"":""BR""}",High-quality electronic components for industrial automation.,TE Connectivity Brazil,BR
2025-08-30,ORD-2025-07758-XT,Indirect,Temporary Labor / Contracting,Temporary electrician,CC-200-Maintenance,Brazil Plant,PLANT-BR,South America,44,3149.35,138571.4,"{""description"":""Offers contract staffing solutions for plant operations."",""supplier"":""Randstad Brazil"",""supplier_country"":""BR""}",Offers contract staffing solutions for plant operations.,Randstad Brazil,BR
2025-08-18,ORD-2025-01692-CD,Indirect,Subscriptions & Data Services,Market data feed,CC-400-IT,Germany-North,PLANT-DE-N,Europe,26,2057.83,53503.58,"{""description"":""Cloud-based enterprise software subscription and data analytics services."",""supplier"":""SAP SE"",""supplier_country"":""DE""}",Cloud-based enterprise software subscription and data analytics services.,SAP SE,DE
2024-05-19,ORD-2024-02002-QZ,Direct,Blades & Hub Parts,Pitch bearing,CC-300-Engineering,Brazil Plant,PLANT-BR,South America,62,3461.33,214602.46,"{""description"":""High-performance turbine blades and hub components for wind energy systems."",""supplier"":""Sideral"",""supplier_country"":""BR""}",High-performance turbine blades and hub components for wind energy systems.,Sideral,BR
2024-12-14,ORD-2024-00776-YE,Direct,Castings & Forgings,Tower flange,CC-100-Production,US-West Plant,PLANT-US-W,North America,27,4972.24,134250.48,"{""description"":""Precision steel forgings for automotive applications"",""supplier"":""Nucor"",""supplier_country"":""US""}",Precision steel forgings for automotive applications,Nucor,US
2024-07-01,ORD-2024-03559-RF,Direct,Bearings & Seals,Spherical roller bearing,CC-100-Production,Germany-South,PLANT-DE-S,Europe,50,1559.01,77950.5,"{""description"":null,""supplier"":""SKF"",""supplier_country"":""SE""}",null,SKF,SE
2025-12-11,ORD-2025-01073-BI,Direct,Components,Industrial fan,CC-100-Production,Brazil Plant,PLANT-BR,South America,96,803.46,77132.16,"{""description"":""High-quality electronic components for industrial automation."",""supplier"":""TE Connectivity Brazil"",""supplier_country"":""BR""}",High-quality electronic components for industrial automation.,TE Connectivity Brazil,BR
2025-09-20,ORD-2025-07720-LG,Direct,Raw Materials,Aluminum ingot,CC-100-Production,Brazil Plant,PLANT-BR,South America,8,2111.26,16890.08,"{""description"":""High-quality iron ore for steel production"",""supplier"":""Vale S.A."",""supplier_country"":""BR""}",High-quality iron ore for steel production,Vale S.A.,BR
2024-02-18,ORD-2024-04024-BC,Indirect,Logistics & Freight,Air freight,CC-700-Logistics,Germany-South,PLANT-DE-S,Europe,98,4175.58,409206.84,"{""description"":""Efficient freight forwarding and supply chain solutions across Europe."",""supplier"":""DHL Supply Chain"",""supplier_country"":""DE""}",Efficient freight forwarding and supply chain solutions across Europe.,DHL Supply Chain,DE
2025-09-19,ORD-2025-05433-EY,Indirect,"MRO (Maintenance, Repair, Operations)",Vacuum pump,CC-200-Maintenance,Germany-South,PLANT-DE-S,Europe,5,245.01,1225.05,"{""description"":""Comprehensive MRO solutions for industrial plants"",""supplier"":""Würth GmbH & Co. KG"",""supplier_country"":""DE""}",Comprehensive MRO solutions for industrial plants,Würth GmbH & Co. KG,DE
2024-11-14,ORD-2024-01458-AO,Direct,Hydraulic Systems,Hydraulic cylinder,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,52,3551.78,184692.56,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""SANY"",""supplier_country"":""CN""}",High-performance hydraulic system components for industrial applications.,SANY,CN
2025-09-03,ORD-2025-08673-FO,Direct,Bearings & Seals,Oil seal,CC-100-Production,Brazil Plant,PLANT-BR,South America,24,681.61,16358.64,"{""description"":""High-performance industrial bearings and seals for automotive and aerospace applications."",""supplier"":""SKF Brasil"",""supplier_country"":""BR""}",High-performance industrial bearings and seals for automotive and aerospace applications.,SKF Brasil,BR
2024-07-06,ORD-2024-04389-NO,Indirect,"MRO (Maintenance, Repair, Operations)",Cleaning solvent,CC-200-Maintenance,Germany-North,PLANT-DE-N,Europe,28,911.01,25508.28,"{""description"":""High-quality industrial tools and maintenance supplies for manufacturing plants."",""supplier"":""Würth GmbH"",""supplier_country"":""DE""}",High-quality industrial tools and maintenance supplies for manufacturing plants.,Würth GmbH,DE
2024-01-23,ORD-2024-07581-MK,Direct,Hydraulic Systems,Hydraulic filter,CC-100-Production,Brazil Plant,PLANT-BR,South America,91,2181.38,198505.58,"{""description"":""High-performance hydraulic pumps and valves for industrial applications."",""supplier"":""Sogefi"",""supplier_country"":""BR""}",High-performance hydraulic pumps and valves for industrial applications.,Sogefi,BR
2024-11-15,ORD-2024-04200-LT,Direct,Electrical Assemblies,Grounding busbar,CC-100-Production,US-West Plant,PLANT-US-W,North America,71,2836.26,201374.46,"{""description"":""High-performance electrical assemblies for industrial automation and power distribution."",""supplier"":""ABB"",""supplier_country"":""US""}",High-performance electrical assemblies for industrial automation and power distribution.,ABB,US
2024-06-19,ORD-2024-04287-PR,Indirect,Safety & PPE,Nitrile gloves,CC-200-Maintenance,Brazil Plant,PLANT-BR,South America,31,1299.55,40286.05,"{""description"":""High-quality protective gear for industrial safety."",""supplier"":""3M Brazil"",""supplier_country"":""BR""}",High-quality protective gear for industrial safety.,3M Brazil,BR
2024-03-08,ORD-2024-07627-OY,Indirect,Subscriptions & Data Services,Market data feed,CC-400-IT,Brazil Plant,PLANT-BR,South America,66,1330.5,87813.0,"{""description"":""Comprehensive cloud data subscription services for enterprise solutions"",""supplier"":""Telefônica Brasil"",""supplier_country"":""BR""}",Comprehensive cloud data subscription services for enterprise solutions,Telefônica Brasil,BR
2025-07-25,ORD-2025-04441-QU,Direct,Sub-Assemblies,Blade assembly,CC-100-Production,Brazil Plant,PLANT-BR,South America,92,1336.51,122958.92,"{""description"":""High-quality automotive sub-assemblies for vehicle production."",""supplier"":""Volkswagen AG"",""supplier_country"":""BR""}",High-quality automotive sub-assemblies for vehicle production.,Volkswagen AG,BR
2024-10-12,ORD-2024-06473-UU,Direct,Blades & Hub Parts,Hub flange,CC-300-Engineering,Germany-North,PLANT-DE-N,Europe,68,1778.74,120954.32,"{""description"":""High-performance blades and hub components for industrial use"",""supplier"":""Köhler GmbH"",""supplier_country"":""DE""}",High-performance blades and hub components for industrial use,Köhler GmbH,DE
2024-11-13,ORD-2024-06029-MQ,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,Brazil Plant,PLANT-BR,South America,34,889.73,30250.82,"{""description"":""High-quality electrical assemblies for industrial automation"",""supplier"":""Schneider Electric Brazil"",""supplier_country"":""BR""}",High-quality electrical assemblies for industrial automation,Schneider Electric Brazil,BR
2025-08-23,ORD-2025-03595-FP,Direct,Sub-Assemblies,Nacelle subsystem,CC-100-Production,Brazil Plant,PLANT-BR,South America,8,2400.85,19206.8,"{""description"":""High-quality aircraft sub-assemblies for Brazil Plant."",""supplier"":""Embraer"",""supplier_country"":""BR""}",High-quality aircraft sub-assemblies for Brazil Plant.,Embraer,BR
2024-10-03,ORD-2024-06498-CT,Direct,Fasteners,High-tensile bolt,CC-100-Production,Germany-South,PLANT-DE-S,Europe,52,3929.9,204354.8,"{""description"":""High strength steel bolts and nuts for industrial applications."",""supplier"":""Böllhoff GmbH"",""supplier_country"":""DE""}",High strength steel bolts and nuts for industrial applications.,Böllhoff GmbH,DE
2024-08-04,ORD-2024-02414-XS,Indirect,Telecom & Connectivity,Internet service,CC-400-IT,Germany-North,PLANT-DE-N,Europe,47,3700.24,173911.28,"{""description"":""Advanced telecom connectivity equipment for enterprise and data center networks."",""supplier"":""Deutsche Telekom AG"",""supplier_country"":""DE""}",Advanced telecom connectivity equipment for enterprise and data center networks.,Deutsche Telekom AG,DE
2024-04-24,ORD-2024-07232-QR,Indirect,Security Services,On-site guard service,CC-800-Admin,US-East Plant,PLANT-US-E,North America,53,3970.89,210457.17,"{""description"":""Comprehensive on-site security and monitoring for industrial facilities."",""supplier"":""Securitas"",""supplier_country"":""US""}",Comprehensive on-site security and monitoring for industrial facilities.,Securitas,US
2024-03-02,ORD-2024-03504-GO,Indirect,Security Services,On-site guard service,CC-800-Admin,US-West Plant,PLANT-US-W,North America,79,3061.29,241841.91,"{""description"":""Comprehensive on-site security and surveillance for industrial facilities."",""supplier"":""Securitas America Inc."",""supplier_country"":""US""}",Comprehensive on-site security and surveillance for industrial facilities.,Securitas America Inc.,US
2024-06-13,ORD-2024-09821-CR,Direct,Bearings & Seals,Deep groove ball bearing,CC-100-Production,US-West Plant,PLANT-US-W,North America,73,583.18,42572.14,"{""description"":""High-performance ball bearings and sealing solutions for industrial applications."",""supplier"":""SKF America"",""supplier_country"":""US""}",High-performance ball bearings and sealing solutions for industrial applications.,SKF America,US
2025-10-17,ORD-2025-09248-VN,Direct,Packaging Materials,Export crate,CC-700-Logistics,US-West Plant,PLANT-US-W,North America,67,4674.57,313196.19,"{""description"":""High-quality corrugated boxes and protective packaging solutions."",""supplier"":""Uline"",""supplier_country"":""US""}",High-quality corrugated boxes and protective packaging solutions.,Uline,US
2024-08-03,ORD-2024-04971-NY,Indirect,Marketing & Advertising,Trade show booth,CC-500-Sales,Germany-South,PLANT-DE-S,Europe,31,3113.92,96531.52,"{""description"":""Digital marketing and creative advertising solutions for local businesses."",""supplier"":""DDB Germany"",""supplier_country"":""DE""}",Digital marketing and creative advertising solutions for local businesses.,DDB Germany,DE
2024-12-13,ORD-2024-01420-GD,Direct,Raw Materials,Copper wire,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,16,1731.87,27709.92,"{""description"":""High-quality phosphate rock for fertilizer production"",""supplier"":""Vietnam Phosphate Joint Stock Company"",""supplier_country"":""VN""}",High-quality phosphate rock for fertilizer production,Vietnam Phosphate Joint Stock Company,VN
2025-05-29,ORD-2025-06434-YR,Direct,Hydraulic Systems,Hydraulic pump,CC-100-Production,US-East Plant,PLANT-US-E,North America,61,4674.04,285116.44,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Parker Hannifin"",""supplier_country"":""US""}",High-performance hydraulic system components for industrial applications.,Parker Hannifin,US
2024-06-30,ORD-2024-06710-WZ,Direct,Fasteners,High-tensile bolt,CC-100-Production,Germany-North,PLANT-DE-N,Europe,35,4359.37,152577.95,"{""description"":""High-strength steel bolts for industrial applications"",""supplier"":""Würth"",""supplier_country"":""DE""}",High-strength steel bolts for industrial applications,Würth,DE
2024-03-26,ORD-2024-00574-BG,Indirect,Temporary Labor / Contracting,Temporary electrician,CC-200-Maintenance,Vietnam Plant,PLANT-VN,Asia,58,1718.05,99646.9,"{""description"":""Provides skilled temporary labor for manufacturing and production lines."",""supplier"":""Vietnam Labor Service Co., Ltd."",""supplier_country"":""VN""}",Provides skilled temporary labor for manufacturing and production lines.,"Vietnam Labor Service Co., Ltd.",VN
2024-08-05,ORD-2024-00055-CR,Direct,Blades & Hub Parts,Pitch bearing,CC-300-Engineering,Germany-North,PLANT-DE-N,Europe,37,1671.55,61847.35,"{""description"":""High-performance blades and hub parts for automotive applications."",""supplier"":""Schaeffler AG"",""supplier_country"":""DE""}",High-performance blades and hub parts for automotive applications.,Schaeffler AG,DE
2024-05-23,ORD-2024-04865-OF,Direct,Castings & Forgings,Tower flange,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,83,4800.93,398477.19,"{""description"":""High-quality castings and forgings for automotive and industrial applications."",""supplier"":""Viet Nam Steel Corporation"",""supplier_country"":""VNM""}",High-quality castings and forgings for automotive and industrial applications.,Viet Nam Steel Corporation,VNM
2024-05-11,ORD-2024-09404-NS,Non-Procureable,Finance Charges,Late payment penalty,CC-800-Admin,US-West Plant,PLANT-US-W,North America,1,28900.96,28900.96,"{""description"":""Finance charge services for corporate loans and credit lines"",""supplier"":""Bank of America"",""supplier_country"":""US""}",Finance charge services for corporate loans and credit lines,Bank of America,US
2024-01-25,ORD-2024-00649-EY,Non-Procureable,Government Services & Taxes,Regulatory fee,CC-800-Admin,US-West Plant,PLANT-US-W,North America,1,76617.36,76617.36,"{""description"":""Comprehensive tax compliance and consulting services for federal agencies."",""supplier"":""Deloitte"",""supplier_country"":""US""}",Comprehensive tax compliance and consulting services for federal agencies.,Deloitte,US
2024-11-12,ORD-2024-06617-WF,Indirect,Rent & Leases,Office rent,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,76,2196.15,166907.4,"{""description"":""Lease of industrial warehouse space for manufacturing operations."",""supplier"":""Hagebau GmbH"",""supplier_country"":""DE""}",Lease of industrial warehouse space for manufacturing operations.,Hagebau GmbH,DE
2025-07-14,ORD-2025-00990-RA,Direct,Sub-Assemblies,Nacelle subsystem,CC-100-Production,Brazil Plant,PLANT-BR,South America,53,2244.59,118963.27,"{""description"":""High-quality aircraft sub-assemblies for regional jets."",""supplier"":""Embraer"",""supplier_country"":""BR""}",High-quality aircraft sub-assemblies for regional jets.,Embraer,BR
2024-01-08,ORD-2024-04811-PK,Direct,Bearings & Seals,Deep groove ball bearing,CC-100-Production,US-West Plant,PLANT-US-W,North America,42,3455.56,145133.52,"{""description"":""High-performance ball bearings and sealing solutions for industrial applications."",""supplier"":""SKF America Inc."",""supplier_country"":""US""}",High-performance ball bearings and sealing solutions for industrial applications.,SKF America Inc.,US
2025-01-09,ORD-2025-01487-FI,Indirect,Telecom & Connectivity,VOIP subscription,CC-400-IT,US-East Plant,PLANT-US-E,North America,94,580.7,54585.8,"{""description"":""High-speed fiber optic connectivity solutions for enterprise networks."",""supplier"":""Cisco Systems"",""supplier_country"":""US""}",High-speed fiber optic connectivity solutions for enterprise networks.,Cisco Systems,US
2024-07-12,ORD-2024-03253-LG,Direct,Sub-Assemblies,Nacelle subsystem,CC-100-Production,US-West Plant,PLANT-US-W,North America,33,3424.43,113006.19,"{""description"":""High-performance sub-assemblies for automotive and industrial applications."",""supplier"":""Bosch Rexroth"",""supplier_country"":""US""}",High-performance sub-assemblies for automotive and industrial applications.,Bosch Rexroth,US
2025-03-15,ORD-2025-07122-HA,Direct,Bearings & Seals,Spherical roller bearing,CC-100-Production,Germany-South,PLANT-DE-S,Europe,61,3175.23,193689.03,"{""description"":""High-performance industrial bearings and seals."",""supplier"":""SKF"",""supplier_country"":""SE""}",High-performance industrial bearings and seals.,SKF,SE
2025-10-06,ORD-2025-04266-XI,Direct,Fasteners,High-tensile bolt,CC-100-Production,US-West Plant,PLANT-US-W,North America,16,374.84,5997.44,"{""description"":""Precision fasteners for aerospace and automotive use."",""supplier"":""Fastenal Company"",""supplier_country"":""US""}",Precision fasteners for aerospace and automotive use.,Fastenal Company,US
2025-12-15,ORD-2025-02667-CV,Direct,Raw Materials,Epoxy resin,CC-100-Production,Germany-North,PLANT-DE-N,Europe,41,4903.54,201045.14,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""BASF SE"",""supplier_country"":""DE""}",High-quality raw materials for industrial manufacturing.,BASF SE,DE
2025-10-26,ORD-2025-06349-VP,Indirect,Events & Conferences,Sponsorship fee,CC-500-Sales,Germany-North,PLANT-DE-N,Europe,41,8.99,368.59,"{""description"":""Professional event planning and conference management services."",""supplier"":""Eventim GmbH"",""supplier_country"":""DE""}",Professional event planning and conference management services.,Eventim GmbH,DE
2025-01-11,ORD-2025-02605-DO,Direct,Fasteners,High-tensile bolt,CC-100-Production,Brazil Plant,PLANT-BR,South America,51,273.64,13955.64,"{""description"":""High-quality steel bolts and nuts for industrial applications."",""supplier"":""Würth Brasil"",""supplier_country"":""BR""}",High-quality steel bolts and nuts for industrial applications.,Würth Brasil,BR
2024-10-15,ORD-2024-09160-TS,Indirect,Training & HR,Leadership training,CC-600-HR,US-West Plant,PLANT-US-W,North America,94,4132.64,388468.16,"{""description"":""Professional HR training and compliance workshops"",""supplier"":""Skillsoft"",""supplier_country"":""US""}",Professional HR training and compliance workshops,Skillsoft,US
2025-02-01,ORD-2025-05580-YX,Direct,Fasteners,High-tensile bolt,CC-100-Production,US-East Plant,PLANT-US-E,North America,4,2002.58,8010.32,"{""description"":""High-quality steel fasteners for industrial applications."",""supplier"":""Fastenal"",""supplier_country"":""US""}",High-quality steel fasteners for industrial applications.,Fastenal,US
2024-07-03,ORD-2024-02862-RT,Direct,Blades & Hub Parts,Pitch bearing,CC-300-Engineering,Brazil Plant,PLANT-BR,South America,26,164.78,4284.28,"{""description"":null,""supplier"":""Ferrovia do Brasil"",""supplier_country"":""BR,""}",null,Ferrovia do Brasil,"BR,"
2025-03-11,ORD-2025-00293-LE,Direct,Blades & Hub Parts,Blade shear web,CC-300-Engineering,Germany-South,PLANT-DE-S,Europe,30,3264.78,97943.4,"{""description"":""High-performance blades and hub parts for automotive and industrial applications."",""supplier"":""Schaeffler AG"",""supplier_country"":""DE""}",High-performance blades and hub parts for automotive and industrial applications.,Schaeffler AG,DE
2024-09-23,ORD-2024-00868-EQ,Indirect,"MRO (Maintenance, Repair, Operations)",Tool rental,CC-200-Maintenance,Brazil Plant,PLANT-BR,South America,82,4272.58,350351.56,"{""description"":""Comprehensive MRO supplies for industrial maintenance and operations."",""supplier"":""MRO Brasil Ltda."",""supplier_country"":""BR""}",Comprehensive MRO supplies for industrial maintenance and operations.,MRO Brasil Ltda.,BR
2024-01-05,ORD-2024-09191-NC,Indirect,Security Services,On-site guard service,CC-800-Admin,Vietnam Plant,PLANT-VN,Asia,57,2371.06,135150.42,"{""description"":""Comprehensive security solutions for industrial facilities."",""supplier"":""Viet Nam Security Services Co., Ltd."",""supplier_country"":""VNM""}",Comprehensive security solutions for industrial facilities.,"Viet Nam Security Services Co., Ltd.",VNM
2024-09-25,ORD-2024-05879-WE,Direct,Castings & Forgings,Gear blank,CC-100-Production,Germany-North,PLANT-DE-N,Europe,99,2989.86,295996.14,"{""description"":""High-quality castings and forgings for automotive and industrial applications."",""supplier"":""KraussMaffei"",""supplier_country"":""DE""}",High-quality castings and forgings for automotive and industrial applications.,KraussMaffei,DE
2024-10-30,ORD-2024-01717-TM,Direct,Bearings & Seals,Oil seal,CC-100-Production,Germany-North,PLANT-DE-N,Europe,82,225.01,18450.82,"{""description"":""High-performance industrial bearings and seals for precision applications."",""supplier"":""SKF Germany"",""supplier_country"":""DE""}",High-performance industrial bearings and seals for precision applications.,SKF Germany,DE
2024-04-16,ORD-2024-05723-WC,Direct,Fasteners,Threaded rod,CC-100-Production,Germany-South,PLANT-DE-S,Europe,63,4074.94,256721.22,"{""description"":""High strength steel bolts and nuts for industrial applications."",""supplier"":""Böllhoff GmbH"",""supplier_country"":""DE""}",High strength steel bolts and nuts for industrial applications.,Böllhoff GmbH,DE
2025-12-15,ORD-2025-03270-LT,Indirect,Office Supplies,Desk chair,CC-800-Admin,Vietnam Plant,PLANT-VN,Asia,15,4675.4,70131.0,"{""description"":""Durable office supplies for efficient workplace productivity."",""supplier"":""Viet Nam Office Supplies Co., Ltd."",""supplier_country"":""VN""}",Durable office supplies for efficient workplace productivity.,"Viet Nam Office Supplies Co., Ltd.",VN
2024-02-04,ORD-2024-07827-WR,Indirect,Subscriptions & Data Services,Industry standards subscription,CC-400-IT,Brazil Plant,PLANT-BR,South America,2,1544.22,3088.44,"{""description"":""Comprehensive cloud data subscription services."",""supplier"":""Embratel"",""supplier_country"":""BR""}",Comprehensive cloud data subscription services.,Embratel,BR
2024-08-23,ORD-2024-09771-CC,Direct,Castings & Forgings,Tower flange,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,40,2357.38,94295.2,"{""description"":""High-quality castings and forgings for industrial applications."",""supplier"":""Viet Nam Iron & Steel Group"",""supplier_country"":""VNM""}",High-quality castings and forgings for industrial applications.,Viet Nam Iron & Steel Group,VNM
2024-11-17,ORD-2024-06227-MV,Indirect,Office Supplies,Toner cartridge,CC-800-Admin,US-West Plant,PLANT-US-W,North America,60,4397.67,263860.2,"{""description"":""High-quality office stationery and supplies for everyday business needs."",""supplier"":""Staples"",""supplier_country"":""US""}",High-quality office stationery and supplies for everyday business needs.,Staples,US
2024-10-11,ORD-2024-06146-TL,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,Germany-South,PLANT-DE-S,Europe,36,4588.59,165189.24,"{""description"":""High-performance electrical assemblies for industrial automation and power distribution."",""supplier"":""Siemens AG"",""supplier_country"":""DE""}",High-performance electrical assemblies for industrial automation and power distribution.,Siemens AG,DE
2024-12-17,ORD-2024-03876-KQ,Indirect,Training & HR,Leadership training,CC-600-HR,Germany-South,PLANT-DE-S,Europe,13,1892.67,24604.71,"{""description"":""Comprehensive HR training and development solutions for corporate workforce."",""supplier"":""Accenture Germany"",""supplier_country"":""DE""}",Comprehensive HR training and development solutions for corporate workforce.,Accenture Germany,DE
2025-12-23,ORD-2025-02266-IX,Direct,Hydraulic Systems,Hydraulic filter,CC-100-Production,Germany-North,PLANT-DE-N,Europe,76,4055.26,308199.76,"{""description"":""High-performance hydraulic pumps and valves for industrial automation"",""supplier"":""Bosch Rexroth AG"",""supplier_country"":""DE""}",High-performance hydraulic pumps and valves for industrial automation,Bosch Rexroth AG,DE
2024-04-30,ORD-2024-06665-QH,Direct,Bearings & Seals,Deep groove ball bearing,CC-100-Production,Germany-South,PLANT-DE-S,Europe,71,823.87,58494.77,"{""description"":""Precision bearings and seals for automotive and industrial applications."",""supplier"":""SKF"",""supplier_country"":""DE""}",Precision bearings and seals for automotive and industrial applications.,SKF,DE
2024-07-27,ORD-2024-09121-NS,Direct,Components,Gearmotor,CC-100-Production,US-East Plant,PLANT-US-E,North America,11,140.21,1542.31,"{""description"":""High-performance microcontroller components for industrial automation"",""supplier"":""Texas Instruments"",""supplier_country"":""US""}",High-performance microcontroller components for industrial automation,Texas Instruments,US
2024-10-01,ORD-2024-02118-BC,Direct,Components,Relay module,CC-100-Production,US-East Plant,PLANT-US-E,North America,7,428.77,3001.39,"{""description"":""High-performance microcontroller components for industrial automation"",""supplier"":""Texas Instruments"",""supplier_country"":""US""}",High-performance microcontroller components for industrial automation,Texas Instruments,US
2025-04-09,ORD-2025-05134-RO,Indirect,Security Services,Alarm monitoring,CC-800-Admin,Brazil Plant,PLANT-BR,South America,72,470.75,33894.0,"{""description"":""24/7 on-site security and monitoring for industrial plants."",""supplier"":""Securitas Brasil Ltda."",""supplier_country"":""BR""}",24/7 on-site security and monitoring for industrial plants.,Securitas Brasil Ltda.,BR
2024-04-08,ORD-2024-00926-EB,Non-Procureable,Finance Charges,Loan interest,CC-800-Admin,US-West Plant,PLANT-US-W,North America,1,389574.38,389574.38,"{""description"":""Finance charge services for corporate loans and credit lines."",""supplier"":""Bank of America"",""supplier_country"":""US""}",Finance charge services for corporate loans and credit lines.,Bank of America,US
2024-09-20,ORD-2024-00144-NA,Direct,Fasteners,High-tensile bolt,CC-100-Production,Germany-North,PLANT-DE-N,Europe,100,2391.8,239180.0,"{""description"":""High-quality fasteners for industrial applications."",""supplier"":""Würth Group"",""supplier_country"":""DE""}",High-quality fasteners for industrial applications.,Würth Group,DE
2025-05-25,ORD-2025-07351-GF,Direct,Sub-Assemblies,Nacelle subsystem,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,83,3933.42,326473.86,"{""description"":null,""supplier"":""Viet Nam Industrial Co., Ltd."",""supplier_country"":""VN,""}",null,"Viet Nam Industrial Co., Ltd.","VN,"
2025-12-11,ORD-2025-07567-BE,Direct,Electrical Assemblies,Main breaker,CC-100-Production,US-West Plant,PLANT-US-W,North America,87,1551.4,134971.8,"{""description"":""High-performance electrical assemblies for industrial automation and control systems."",""supplier"":""Delphi"",""supplier_country"":""US""}",High-performance electrical assemblies for industrial automation and control systems.,Delphi,US
2025-10-01,ORD-2025-09938-QX,Indirect,Marketing & Advertising,Promotional items,CC-500-Sales,Germany-North,PLANT-DE-N,Europe,52,2031.43,105634.36,"{""description"":""Digital marketing and creative advertising solutions for regional businesses."",""supplier"":""Kreativwerk GmbH"",""supplier_country"":""DE""}",Digital marketing and creative advertising solutions for regional businesses.,Kreativwerk GmbH,DE
2024-01-02,ORD-2024-03859-SS,Direct,Sub-Assemblies,Yaw module,CC-100-Production,Germany-South,PLANT-DE-S,Europe,20,662.05,13241.0,"{""description"":""High-precision automotive sub-assemblies for powertrain and chassis systems."",""supplier"":""ZF Friedrichshafen AG"",""supplier_country"":""DE""}",High-precision automotive sub-assemblies for powertrain and chassis systems.,ZF Friedrichshafen AG,DE
